Iterative Test,,,,,,,,,,
Type of cancers,Number of cancers,Random forest accuracy,Random forest precision,Random forest recall,SVM accuracy,SVM precision,SVM recall,miRNAs from top 20 feature selection,Biologically,Clinically
"breast, kidney, corpus uteri, thyroid gland, bronchus and lung, prostate gland, brain, ovary, stomach, colon, skin, bladder",12,0.969636041,0.968785424,0.968711325,0.976112518,0.974680203,0.974137868,"hsa-mir-10a, hsa-mir-141, hsa-mir-153-2, hsa-mir-181a-2, hsa-mir-192, hsa-mir-194-1, hsa-mir-194-2, hsa-mir-196a-2, hsa-mir-196b, hsa-mir-200a, hsa-mir-200b, hsa-mir-200c, hsa-mir-205, hsa-mir-21, hsa-mir-215, hsa-mir-375, hsa-mir-429, hsa-mir-9-1, hsa-mir-9-2, hsa-mir-9-3",65,35
"breast, kidney, corpus uteri, thyroid gland, bronchus and lung, prostate gland, brain, ovary, stomach, colon, skin, bladder, liver and intrahepatic bile ducts",13,0.970708461,0.969898027,0.968380426,0.976540349,0.974760003,0.974303423,"hsa-mir-10a, hsa-mir-141, hsa-mir-192, hsa-mir-194-1, hsa-mir-194-2, hsa-mir-196a-2, hsa-mir-196b, hsa-mir-200a, hsa-mir-200b, hsa-mir-200c, hsa-mir-205, hsa-mir-21, hsa-mir-215, hsa-mir-375, hsa-mir-429, hsa-mir-885, hsa-mir-9-1, hsa-mir-9-2, hsa-mir-9-3, hsa-mir-92b",65,35
"breast, kidney, corpus uteri, thyroid gland, bronchus and lung, prostate gland, brain, ovary, stomach, colon, skin, bladder, liver and intrahepatic bile ducts, cervix uteri",14,0.961748564,0.960479484,0.955482474,0.971766898,0.970617474,0.971336957,"hsa-mir-10a, hsa-mir-141, hsa-mir-192, hsa-mir-194-1, hsa-mir-194-2, hsa-mir-196a-2, hsa-mir-196b, hsa-mir-200a, hsa-mir-200b, hsa-mir-200c, hsa-mir-205, hsa-mir-21, hsa-mir-215, hsa-mir-375, hsa-mir-429, hsa-mir-885, hsa-mir-9-1, hsa-mir-9-2, hsa-mir-9-3, hsa-mir-92b",65,35
"breast, kidney, corpus uteri, thyroid gland, bronchus and lung, prostate gland, brain, ovary, stomach, colon, skin, bladder, liver and intrahepatic bile ducts, cervix uteri, soft tissue",15,0.96091649,0.955454085,0.95266526,0.97270668,0.966150295,0.969777665,"hsa-mir-10a, hsa-mir-141, hsa-mir-192, hsa-mir-194-1, hsa-mir-194-2, hsa-mir-196a-2, hsa-mir-196b, hsa-mir-200a, hsa-mir-200b, hsa-mir-200c, hsa-mir-203a, hsa-mir-205, hsa-mir-21, hsa-mir-215, hsa-mir-375, hsa-mir-429, hsa-mir-9-1, hsa-mir-9-2, hsa-mir-9-3, hsa-mir-92b",65,35
"breast, kidney, corpus uteri, thyroid gland, bronchus and lung, prostate gland, brain, ovary, stomach, colon, skin, bladder, liver and intrahepatic bile ducts, cervix uteri, soft tissue, retroperitoneal and peritoneum",16,0.955344719,0.933519742,0.920259762,0.967235927,0.939727773,0.944662407,"hsa-mir-141, hsa-mir-192, hsa-mir-194-1, hsa-mir-194-2, hsa-mir-196a-2, hsa-mir-196b, hsa-mir-200a, hsa-mir-200b, hsa-mir-200c, hsa-mir-203a, hsa-mir-205, hsa-mir-21, hsa-mir-215, hsa-mir-375, hsa-mir-429, hsa-mir-885, hsa-mir-9-1, hsa-mir-9-2, hsa-mir-9-3, hsa-mir-92b",60,35
"breast, kidney, corpus uteri, thyroid gland, bronchus and lung, prostate gland, brain, ovary, stomach, colon, skin, bladder, liver and intrahepatic bile ducts, cervix uteri, soft tissue, retroperitoneal and peritoneum, esophagus",17,0.938786529,0.919374428,0.882804505,0.956313204,0.929474037,0.923290666,"hsa-mir-141, hsa-mir-192, hsa-mir-194-1, hsa-mir-194-2, hsa-mir-196a-2, hsa-mir-196b, hsa-mir-200a, hsa-mir-200b, hsa-mir-200c, hsa-mir-203a, hsa-mir-205, hsa-mir-21, hsa-mir-215, hsa-mir-375, hsa-mir-429, hsa-mir-885, hsa-mir-9-1, hsa-mir-9-2, hsa-mir-9-3, hsa-mir-92b",60,35
"breast, kidney, corpus uteri, thyroid gland, bronchus and lung, prostate gland, brain, ovary, stomach, colon, skin, bladder, liver and intrahepatic bile ducts, cervix uteri, soft tissue, retroperitoneal and peritoneum, esophagus, adrenal gland",18,0.940291525,0.925973415,0.890042071,0.955311991,0.92716361,0.928468413,"hsa-mir-10a, hsa-mir-141, hsa-mir-192, hsa-mir-194-1, hsa-mir-194-2, hsa-mir-196a-2, hsa-mir-196b, hsa-mir-200a, hsa-mir-200b, hsa-mir-200c, hsa-mir-203a, hsa-mir-205, hsa-mir-21, hsa-mir-215, hsa-mir-375, hsa-mir-429, hsa-mir-9-1, hsa-mir-9-2, hsa-mir-9-3, hsa-mir-92b",65,35
"breast, kidney, corpus uteri, thyroid gland, bronchus and lung, prostate gland, brain, ovary, stomach, colon, skin, bladder, liver and intrahepatic bile ducts, cervix uteri, soft tissue, retroperitoneal and peritoneum, esophagus, adrenal gland, pancreas",19,0.937085308,0.924593987,0.89092214,0.953672986,0.92790183,0.929384064,"hsa-mir-10a, hsa-mir-141, hsa-mir-192, hsa-mir-194-1, hsa-mir-194-2, hsa-mir-196b, hsa-mir-200a, hsa-mir-200b, hsa-mir-200c, hsa-mir-203a, hsa-mir-205, hsa-mir-21, hsa-mir-215, hsa-mir-375, hsa-mir-429, hsa-mir-885, hsa-mir-9-1, hsa-mir-9-2, hsa-mir-9-3, hsa-mir-92b",65,35
"breast, kidney, corpus uteri, thyroid gland, bronchus and lung, prostate gland, brain, ovary, stomach, colon, skin, bladder, liver and intrahepatic bile ducts, cervix uteri, soft tissue, retroperitoneal and peritoneum, esophagus, adrenal gland, pancreas, testis",20,0.936714558,0.924946748,0.90024643,0.95265257,0.936565773,0.93484404,"hsa-mir-10a, hsa-mir-141, hsa-mir-192, hsa-mir-194-1, hsa-mir-194-2, hsa-mir-196b, hsa-mir-200a, hsa-mir-200b, hsa-mir-200c, hsa-mir-203a, hsa-mir-205, hsa-mir-21, hsa-mir-215, hsa-mir-375, hsa-mir-429, hsa-mir-885, hsa-mir-9-1, hsa-mir-9-2, hsa-mir-9-3, hsa-mir-92b",65,35
,,,,,,,,,,
,,,,,,,,,,
